"年","市区町村","面積(㎢)","人口(総数)","人口(男性)","人口(女性)","65歳以上人口の割合","世帯数","小学校児童数","中学校生徒数"
"2019","千代田区","11.66","63584","32071","31513","0.1779","36248","4709","5955"
"2019","中央区","10.21","161935","77251","84684","0.1546","89641","6714","1873"
"2019","港区","20.37","256805","120924","135881","0.172","137341","10226","9286"
"2019","新宿区","18.22","347398","174322","173076","0.1972","215899","9913","6193"
"2019","文京区","11.29","231211","111490","119721","0.197","127504","11437","7978"
"2019","台東区","10.11","206105","105803","100302","0.2344","119603","6826","2844"
"2019","墨田区","13.77","267190","132568","134622","0.2258","140541","9969","5403"
"2019","江東区","40.16","515856","254616","261240","0.2152","257340","23752","9019"
"2019","品川区","22.84","404788","199938","204850","0.2101","224475","12238","5798"
"2019","目黒区","14.67","285563","135085","150478","0.1982","151394","10433","3762"
"2019","大田区","60.83","734616","366714","367902","0.2277","387765","29888","11329"
"2019","世田谷区","58.05","930520","440343","490177","0.2021","482590","40881","20136"
"2019","渋谷区","15.11","231584","111390","120194","0.1895","140468","8424","4751"
"2019","中野区","15.59","338720","170839","167881","0.2064","206288","10282","5741"
"2019","杉並区","34.06","580484","279439","301045","0.2104","324553","21372","10189"
"2019","豊島区","13.01","300447","150695","149752","0.2006","185091","9609","6878"
"2019","北区","20.61","352493","175491","177002","0.2528","189028","13379","6614"
"2019","荒川区","10.16","217595","107314","110281","0.234","108603","8900","4163"
"2019","板橋区","32.22","579235","283542","295693","0.2304","309209","23365","11098"
"2019","練馬区","48.08","735650","356134","379516","0.2175","353520","33804","15159"
"2019","足立区","53.25","680579","340129","340450","0.248","328507","31669","13841"
"2019","葛飾区","34.8","453014","226261","226753","0.2449","213303","20542","9063"
"2019","江戸川区","49.9","693749","349093","344656","0.2097","323168","34659","15879"
"2019","八王子市","186.38","577192","290734","286458","0.2611","261642","27678","15332"
"2019","立川市","24.36","180554","88949","91605","0.2404","87679","8625","3844"
"2019","武蔵野市","10.98","147878","70798","77080","0.2214","76076","7454","4104"
"2019","三鷹市","16.42","191256","92674","98582","0.2159","93109","9236","4003"
"2019","青梅市","103.31","134627","67430","67197","0.2894","55716","6214","3275"
"2019","府中市","29.43","263186","132659","130527","0.2155","122736","14326","6093"
"2019","昭島市","17.34","111873","55451","56422","0.2553","49599","5731","2736"
"2019","調布市","21.58","237939","115793","122146","0.2144","116436","11824","5526"
"2019","町田市","71.55","434034","212407","221627","0.2633","192411","23461","12733"
"2019","小金井市","11.3","124988","61740","63248","0.2101","62255","5844","3854"
"2019","小平市","20.51","195162","96084","99078","0.2297","86656","10379","4817"
"2019","日野市","27.55","189053","94460","94593","0.2454","88045","9318","4209"
"2019","東村山市","17.14","149951","72983","76968","0.263","66592","7623","3981"
"2019","国分寺市","11.46","126517","61836","64681","0.2195","61668","6172","2905"
"2019","国立市","8.15","74925","36518","38407","0.227","35526","4483","2288"
"2019","福生市","10.16","58069","28967","29102","0.2532","28130","2401","1115"
"2019","狛江市","6.39","83050","40356","42694","0.2408","41577","3394","1320"
"2019","東大和市","13.42","84511","41420","43091","0.2637","36445","4462","2100"
"2019","清瀬市","10.23","75269","36115","39154","0.2785","33491","3903","1940"
"2019","東久留米市","12.88","116426","56408","60018","0.2794","51292","5732","2770"
"2019","武蔵村山市","15.32","71708","35745","35963","0.2564","29436","4323","2200"
"2019","多摩市","21.01","147712","72204","75508","0.2766","68108","7414","3774"
"2019","稲城市","17.97","90895","45556","45339","0.2097","38804","5372","2364"
"2019","羽村市","9.9","54962","27965","26997","0.2521","23795","2936","1392"
"2019","あきる野市","73.47","80239","39806","40433","0.2904","31819","4457","2364"
"2019","西東京市","15.75","203960","99503","104457","0.2377","93670","9751","4126"
"2019","瑞穂町","16.85","32783","16653","16130","0.2734","13540","1560","882"
"2019","日の出町","28.07","17177","8366","8811","0.3497","5846","1037","421"
"2019","檜原村","105.41","2069","1008","1061","0.5022","836","44","19"
"2019","奥多摩町","225.53","5004","2502","2502","0.4917","2016","145","77"
"2019","大島町","90.76","7416","3815","3601","0.373","3783","337","153"
"2019","利島村","4.12","345","196","149","0.243","196","27","7"
"2019","新島村","27.54","2628","1305","1323","0.3899","1275","115","74"
"2019","神津島村","18.58","1849","951","898","0.2925","820","105","62"
"2019","三宅村","55.26","2326","1293","1033","0.396","1395","78","26"
"2019","御蔵島村","20.54","336","179","157","0.1759","191","22","3"
"2019","八丈町","72.23","7235","3619","3616","0.386","3831","338","175"
"2019","青ヶ島村","5.96","167","102","65","0.1566","123","5","6"
"2019","小笠原村","106.78","3051","1900","1151","0.1511","1542","195","63"
"2020","千代田区","11.66","65891","33244","32647","0.1727","37570","4851","5971"
"2020","中央区","10.21","167794","80157","87637","0.1511","92596","7118","1887"
"2020","港区","20.37","259758","122523","137235","0.1701","139169","10636","9322"
"2020","新宿区","18.22","349688","175203","174485","0.1952","217980","10226","6190"
"2020","文京区","11.29","235836","113643","122193","0.194","130225","11796","8061"
"2020","台東区","10.11","209244","107485","101759","0.231","122234","6896","2886"
"2020","墨田区","13.77","270227","133933","136294","0.2245","143342","10026","5485"
"2020","江東区","40.16","519212","255641","263571","0.2154","260896","23960","9052"
"2020","品川区","22.84","411792","203344","208448","0.2069","228987","12709","5892"
"2020","目黒区","14.67","287695","136024","151671","0.197","153034","10674","3951"
"2020","大田区","60.83","739575","368632","370943","0.227","393580","30027","11442"
"2020","世田谷区","58.05","939099","444214","494885","0.2016","489972","41730","20147"
"2020","渋谷区","15.11","234661","112800","121861","0.1883","142611","8701","4756"
"2020","中野区","15.59","342296","172560","169736","0.2049","209584","10678","5817"
"2020","杉並区","34.06","585470","281784","303686","0.2093","328628","21791","10236"
"2020","豊島区","13.01","301185","150880","150305","0.1986","185806","9791","6927"
"2020","北区","20.61","354425","176352","178073","0.2493","191159","13639","6610"
"2020","荒川区","10.16","218775","107741","111034","0.2324","109887","8886","4128"
"2020","板橋区","32.22","583702","285243","298459","0.2308","314568","23823","11125"
"2020","練馬区","48.08","742652","358801","383851","0.2178","360790","33987","15091"
"2020","足立区","53.25","683365","341355","342010","0.2482","334603","31506","13784"
"2020","葛飾区","34.8","454973","227076","227897","0.2452","216745","20617","8960"
"2020","江戸川区","49.9","695797","350123","345674","0.2103","326985","34544","15678"
"2020","八王子市","186.38","577212","290339","286873","0.2653","264292","27319","15410"
"2020","立川市","24.36","180822","89121","91701","0.2425","88697","8637","3742"
"2020","武蔵野市","10.98","148350","71019","77331","0.2213","76624","7561","4129"
"2020","三鷹市","16.42","192518","93284","99234","0.2176","94278","9357","4109"
"2020","青梅市","103.31","133573","66831","66742","0.2961","56006","6088","3188"
"2020","府中市","29.43","263407","132808","130599","0.2168","123836","14307","6117"
"2020","昭島市","17.34","112055","55502","56553","0.2588","50096","5805","2669"
"2020","調布市","21.58","239824","116450","123374","0.214","117918","11971","5649"
"2020","町田市","71.55","434170","212374","221796","0.2666","194479","23103","12661"
"2020","小金井市","11.3","125851","62123","63728","0.2113","62958","6098","3763"
"2020","小平市","20.51","196435","96632","99803","0.2298","87869","10576","4795"
"2020","日野市","27.55","190006","94876","95130","0.247","89228","9326","4218"
"2020","東村山市","17.14","150417","73113","77304","0.2663","67334","7538","3991"
"2020","国分寺市","11.46","127998","62419","65579","0.2185","62720","6247","2935"
"2020","国立市","8.15","75167","36607","38560","0.2293","36039","4472","2286"
"2020","福生市","10.16","57443","28620","28823","0.2565","28039","2352","1062"
"2020","狛江市","6.39","83826","40737","43089","0.2399","42102","3518","1286"
"2020","東大和市","13.42","84247","41218","43029","0.2672","36710","4503","2053"
"2020","清瀬市","10.23","75168","36046","39122","0.2792","33782","3816","1936"
"2020","東久留米市","12.88","116446","56344","60102","0.2813","51819","5725","2743"
"2020","武蔵村山市","15.32","71544","35654","35890","0.2596","29734","4202","2143"
"2020","多摩市","21.01","147790","72184","75606","0.2813","68726","7293","3772"
"2020","稲城市","17.97","91850","46016","45834","0.2114","39456","5395","2375"
"2020","羽村市","9.9","54709","27825","26884","0.2566","23887","2909","1363"
"2020","あきる野市","73.47","80055","39733","40322","0.2936","32159","4337","2410"
"2020","西東京市","15.75","206268","100499","105769","0.2381","95578","9845","4222"
"2020","瑞穂町","16.85","32394","16438","15956","0.2799","13534","1538","835"
"2020","日の出町","28.07","17140","8372","8768","0.355","5900","1041","451"
"2020","檜原村","105.41","1990","959","1031","0.5056","815","53","21"
"2020","奥多摩町","225.53","4863","2433","2430","0.4906","1974","144","76"
"2020","大島町","90.76","7244","3742","3502","0.374","3717","323","147"
"2020","利島村","4.12","344","203","141","0.2415","198","21","15"
"2020","新島村","27.54","2594","1288","1306","0.396","1273","115","62"
"2020","神津島村","18.58","1870","964","906","0.2998","831","112","55"
"2020","三宅村","55.26","2270","1268","1002","0.391","1352","79","31"
"2020","御蔵島村","20.54","337","182","155","0.1861","195","23","5"
"2020","八丈町","72.23","7096","3570","3526","0.3905","3752","309","181"
"2020","青ヶ島村","5.96","176","108","68","0.1824","127","5","5"
"2020","小笠原村","106.88","3055","1898","1157","0.1562","1547","198","68"
"2021","千代田区","11.66","67165","33834","33331","0.1685","38205","5006","6079"
"2021","中央区","10.21","170016","81297","88719","0.1482","93601","7612","2018"
"2021","港区","20.37","258415","121709","136706","0.1692","138003","11016","9396"
"2021","新宿区","18.22","346467","173743","172724","0.194","215724","10490","6258"
"2021","文京区","11.29","236296","113731","122565","0.1911","129848","12299","8389"
"2021","台東区","10.11","210460","108067","102393","0.228","123813","6968","2911"
"2021","墨田区","13.77","270978","134224","136754","0.2223","145040","10192","5507"
"2021","江東区","42.99","523678","257547","266131","0.2153","264909","24276","9045"
"2021","品川区","22.84","416492","205458","211034","0.2037","231858","13331","5977"
"2021","目黒区","14.67","287538","135828","151710","0.1962","153178","10922","4264"
"2021","大田区","61.86","738754","367691","371063","0.2262","395306","30284","11468"
"2021","世田谷区","58.05","941985","445359","496626","0.2008","493140","42517","20659"
"2021","渋谷区","15.11","235496","113338","122158","0.1867","143056","8995","4822"
"2021","中野区","15.59","341694","172216","169478","0.2025","209100","10888","5983"
"2021","杉並区","34.06","584856","281556","303300","0.2083","328425","22134","10551"
"2021","豊島区","13.01","298239","149298","148941","0.1979","183848","10040","7200"
"2021","北区","20.61","353675","175831","177844","0.247","191464","14048","6599"
"2021","荒川区","10.16","218164","107518","110646","0.231","109812","9006","4173"
"2021","板橋区","32.22","582558","284559","297999","0.2305","315948","24086","11344"
"2021","練馬区","48.08","743316","358894","384422","0.217","363448","34200","15228"
"2021","足立区","53.25","683069","340968","342101","0.2479","338812","31215","13895"
"2021","葛飾区","34.8","454114","226635","227479","0.2449","218708","20630","9099"
"2021","江戸川区","49.9","691841","348111","343730","0.2107","328086","34206","15723"
"2021","八王子市","186.38","576560","290121","286439","0.2689","266762","26109","15166"
"2021","立川市","24.36","181309","89283","92026","0.2454","89844","8599","3776"
"2021","武蔵野市","10.98","149122","71304","77818","0.2219","77165","7731","4257"
"2021","三鷹市","16.42","194183","93996","100187","0.2182","95258","9586","4214"
"2021","青梅市","103.31","132686","66394","66292","0.3024","56468","5853","3126"
"2021","府中市","29.43","263430","132730","130700","0.219","124900","14275","6171"
